date,first,second,third,fourth,fifth,sixth,seventh
2020-11-16,01,09,18,19,23,01,09
2020-11-14,10,12,21,24,30,03,07
2020-11-11,06,14,18,28,33,02,05
2020-11-09,08,11,13,30,32,02,06
2020-11-07,05,07,09,20,28,02,07
2020-11-04,11,16,20,21,28,05,11
2020-11-02,02,20,21,23,32,06,12
2020-10-31,02,03,06,07,33,08,09
2020-10-28,01,04,13,17,28,03,07
2020-10-26,02,03,11,14,27,04,10
2020-10-24,03,08,12,13,22,04,12
2020-10-21,03,12,23,26,30,04,07
2020-10-19,07,12,13,19,23,02,08
2020-10-17,07,11,18,20,29,09,12
2020-10-14,03,04,05,09,34,07,09
2020-10-12,04,05,08,22,33,07,10
2020-10-10,02,03,11,15,27,04,12
2020-10-07,04,09,15,24,35,04,10
2020-10-05,05,25,27,30,34,06,12
2020-09-30,07,08,10,25,28,03,11
2020-09-28,02,18,25,26,32,02,07
2020-09-26,04,06,07,08,16,02,08
2020-09-23,06,14,25,27,28,04,11
2020-09-21,08,11,17,31,35,07,11
2020-09-19,12,16,20,23,31,05,12
2020-09-16,05,06,27,28,29,11,12
2020-09-14,13,16,20,22,27,01,02
2020-09-12,02,07,23,26,35,01,12
2020-09-09,01,04,20,23,29,04,08
2020-09-07,08,11,15,20,28,04,10
2020-09-05,03,04,11,15,28,02,03
2020-09-02,02,10,20,24,31,06,12
2020-08-31,01,02,17,32,34,04,09
2020-08-29,02,11,12,21,34,04,08
2020-08-26,01,13,15,32,35,08,10
2020-08-24,03,06,22,24,25,09,10
2020-08-22,04,16,24,29,35,02,12
2020-08-19,14,18,20,28,34,10,11
2020-08-17,17,23,28,29,32,01,03
2020-08-15,01,08,18,28,30,10,12
2020-08-12,02,09,10,21,35,01,07
2020-08-10,03,09,10,12,21,04,11
2020-08-08,04,10,12,23,27,08,09
2020-08-05,11,15,18,20,27,05,06
2020-08-03,01,12,16,28,33,03,12
2020-08-01,01,22,30,31,32,04,12
2020-07-29,05,07,26,30,31,07,10
2020-07-27,15,20,23,26,33,02,08
2020-07-25,01,08,14,16,28,04,10
2020-07-22,06,14,21,34,35,03,10
2020-07-20,13,15,26,32,33,05,07
2020-07-18,05,10,23,34,35,01,11
2020-07-15,11,18,20,21,33,06,07
2020-07-13,01,05,14,23,31,02,07
2020-07-11,07,08,12,21,26,01,06
2020-07-08,12,14,25,34,35,03,12
2020-07-06,01,15,22,28,32,03,11
2020-07-04,01,15,19,26,27,05,10
2020-07-01,17,20,21,22,31,02,08
2020-06-29,03,11,25,29,34,03,06
2020-06-27,03,04,12,18,34,10,12
2020-06-24,11,14,15,19,20,03,07
2020-06-22,02,15,18,21,27,03,06
2020-06-20,09,11,26,28,35,06,07
2020-06-17,02,07,09,19,33,01,07
2020-06-15,03,14,16,22,34,02,06
2020-06-13,03,11,15,22,30,08,10
2020-06-10,03,09,10,15,16,07,09
2020-06-08,04,18,27,28,30,03,10
2020-06-06,15,24,27,30,34,04,12
2020-06-03,02,09,16,23,27,03,08
2020-06-01,01,03,22,28,30,02,05
2020-05-30,12,13,17,31,32,01,06
2020-05-27,03,04,05,11,22,05,06
2020-05-25,07,13,20,29,34,04,07
2020-05-23,02,17,20,28,29,01,07
2020-05-20,01,05,15,22,31,02,09
2020-05-18,04,15,20,22,24,01,09
2020-05-16,01,04,10,11,14,02,05
2020-05-13,01,05,11,12,26,02,07
2020-05-11,10,11,22,26,28,02,04
2020-05-09,11,13,20,27,31,02,04
2020-05-06,07,19,20,31,34,05,08
2020-05-04,02,03,09,16,32,03,04
2020-05-02,01,02,05,15,21,04,05
2020-04-29,01,08,17,27,30,05,06
2020-04-27,11,14,17,22,30,07,09
2020-04-25,04,05,28,34,35,01,08
2020-04-22,04,07,20,25,32,03,09
2020-04-20,03,15,26,32,34,08,12
2020-04-18,02,14,21,22,26,05,07
2020-04-15,03,05,06,24,30,03,07
2020-04-13,04,11,23,26,30,01,06
2020-04-11,04,14,20,28,35,02,03
2020-04-08,10,12,24,31,33,04,09
2020-04-06,08,10,12,26,32,05,09
2020-04-04,01,12,22,23,33,01,12
2020-04-01,09,14,16,24,26,04,12
2020-03-30,01,06,07,09,10,02,11
2020-03-28,04,08,19,31,35,01,02
2020-03-25,01,07,23,24,26,03,07
2020-03-23,03,07,09,17,21,03,06
2020-03-21,01,04,05,11,35,03,09
2020-03-18,01,06,18,32,34,01,03
2020-03-16,02,13,19,22,23,02,07
2020-03-14,01,08,13,24,32,02,09
2020-01-20,19,29,31,34,35,06,10
2020-01-18,14,17,19,24,32,01,06
2020-01-15,02,10,19,24,30,05,08
2020-01-13,09,22,25,31,32,08,12
2020-01-11,06,10,33,34,35,01,03
2020-01-08,17,20,21,29,30,05,09
2020-01-06,23,25,26,30,34,03,07
2020-01-04,03,07,18,25,30,02,07
2020-01-01,17,25,26,32,34,04,07
2019-12-30,07,11,12,16,33,05,07
2019-12-28,01,02,07,33,35,06,10
2019-12-25,03,04,07,11,30,08,09
2019-12-23,09,12,19,22,33,07,08
2019-12-21,10,11,26,33,34,01,06
2019-12-18,05,09,19,22,32,03,05
2019-12-16,02,05,20,28,31,02,11
2019-12-14,04,22,23,24,32,06,12
2019-12-11,03,04,26,29,33,06,07
2019-12-09,02,10,20,21,35,01,12
2019-12-07,03,07,08,25,27,03,05
2019-12-04,01,05,07,08,11,06,10
2019-12-02,04,06,07,20,29,02,04
2019-11-30,03,05,12,13,26,07,12
2019-11-27,03,16,20,26,29,03,09
2019-11-25,04,05,19,25,26,01,11
2019-11-23,05,06,07,14,17,10,11
2019-11-20,03,12,24,27,34,01,12
2019-11-18,03,05,06,13,18,10,12
2019-11-16,05,06,14,27,29,06,10
2019-11-13,01,13,20,21,26,04,10
2019-11-11,10,13,18,23,30,06,12
2019-11-09,20,21,25,34,35,03,12
2019-11-06,04,07,08,11,16,09,11
2019-11-04,05,09,16,18,30,04,07
2019-11-02,05,08,09,14,34,02,05
2019-10-30,07,17,26,27,30,06,12
2019-10-28,03,13,15,26,30,05,12
2019-10-26,05,19,25,31,33,10,11
2019-10-23,01,02,03,07,17,04,10
2019-10-21,06,15,17,22,25,01,09
2019-10-19,03,06,09,23,34,02,11
2019-10-16,02,03,13,19,26,02,03
2019-10-14,01,18,21,25,35,07,08
2019-10-12,02,10,16,21,23,02,12
2019-10-09,01,18,21,28,32,05,12
2019-09-30,03,05,07,20,23,04,11
2019-09-28,03,11,27,34,35,01,02
2019-09-25,03,10,16,21,33,05,06
2019-09-23,06,15,20,23,27,08,10
2019-09-21,01,19,23,24,30,04,05
2019-09-18,02,07,08,20,25,11,12
2019-09-16,24,27,28,31,34,04,08
2019-09-14,05,09,19,27,35,02,03
2019-09-11,05,08,10,32,35,02,10
2019-09-09,01,04,09,14,17,01,06
2019-09-07,02,07,19,22,28,03,05
2019-09-04,05,12,22,27,32,04,07
2019-09-02,05,10,15,19,31,03,06
2019-08-31,05,11,18,19,27,05,06
2019-08-28,05,08,12,19,21,06,11
2019-08-26,04,06,18,27,33,07,09
2019-08-24,13,15,17,19,22,03,04
2019-08-21,10,17,20,30,35,10,12
2019-08-19,02,12,22,23,27,02,06
2019-08-17,03,12,17,19,31,02,06
2019-08-14,01,12,14,26,27,07,09
2019-08-12,16,17,26,29,35,01,07
2019-08-10,02,11,15,27,30,02,05
2019-08-07,04,13,20,26,28,03,12
2019-08-05,13,19,28,30,33,02,12
2019-08-03,09,14,18,33,34,03,12
2019-07-31,01,05,18,27,33,06,08
2019-07-29,05,06,18,19,27,07,12
2019-07-27,05,15,16,28,31,02,07
2019-07-24,04,05,06,15,26,08,11
2019-07-22,12,23,25,34,35,01,07
2019-07-20,17,24,26,28,32,07,09
2019-07-17,06,18,20,21,31,03,04
2019-07-15,06,24,26,30,33,02,07
2019-07-13,05,13,18,19,24,02,07
2019-07-10,10,13,16,28,35,04,05
2019-07-08,05,10,21,26,30,01,07
2019-07-06,01,15,17,21,33,07,10
2019-07-03,01,06,11,23,29,01,11
2019-07-01,05,06,07,11,16,02,11
2019-06-29,08,09,13,14,34,05,07
2019-06-26,04,11,19,20,24,08,11
2019-06-24,02,04,06,09,18,07,10
2019-06-22,07,13,14,15,22,07,11
2019-06-19,02,13,15,22,34,02,12
2019-06-17,08,22,23,33,34,04,06
2019-06-15,04,05,08,17,27,06,11
2019-06-12,03,08,11,15,16,02,10
2019-06-10,04,10,11,18,31,05,08
2019-06-08,03,08,10,23,27,02,12
2019-06-05,07,08,13,19,29,11,12
2019-06-03,05,08,15,18,21,04,08
2019-06-01,05,16,23,25,28,01,12
2019-05-29,01,02,13,14,26,05,11
2019-05-27,01,11,12,18,21,08,10
2019-05-25,07,08,15,27,32,08,12
2019-05-22,03,10,13,14,32,07,11
2019-05-20,08,14,16,34,35,06,12
2019-05-18,01,07,10,12,23,06,08
2019-05-15,02,04,06,19,22,02,06
2019-05-13,02,18,23,27,30,05,10
2019-05-11,01,11,19,26,35,11,12
2019-05-08,04,10,15,20,24,07,11
2019-05-06,11,15,16,20,29,04,08
2019-05-04,04,15,16,20,35,03,12
2019-05-01,10,16,22,26,27,07,11
2019-04-29,06,10,16,29,33,05,11
2019-04-27,03,04,10,16,32,04,09
2019-04-24,02,08,14,15,35,10,12
2019-04-22,01,04,16,19,33,03,12
2019-04-20,03,06,10,12,31,01,02
2019-04-17,02,06,07,12,15,06,12
2019-04-15,04,10,13,28,33,11,12
2019-04-13,12,19,20,22,28,02,06
2019-04-10,01,03,31,32,34,01,03
2019-04-08,01,12,18,26,35,06,12
2019-04-06,05,11,16,18,27,07,12
2019-04-03,06,16,26,33,35,04,08
2019-04-01,03,09,21,28,30,01,12
2019-03-30,01,03,05,07,18,08,09
2019-03-27,08,12,15,27,30,01,02
2019-03-25,01,02,04,16,24,07,09
2019-03-23,01,04,07,11,30,07,08
2019-03-20,03,08,21,26,33,04,05
2019-03-18,07,09,13,14,33,02,04
2019-03-16,01,04,18,24,28,02,03
2019-03-13,06,22,28,29,33,02,07
2019-03-11,16,18,24,25,27,02,07
2019-03-09,10,12,15,17,19,02,03
2019-03-06,06,13,16,19,29,03,07
2019-03-04,11,17,19,29,33,08,09
2019-03-02,01,03,14,26,30,06,11
2019-02-27,01,04,14,15,21,01,05
2019-02-25,07,13,17,24,33,01,10
2019-02-23,01,08,16,27,34,03,12
2019-02-20,04,11,19,25,32,01,02
2019-02-18,03,18,19,26,34,06,12
2019-02-16,01,05,07,22,25,03,04
2019-02-13,03,05,13,16,28,02,06
2019-02-11,02,05,10,13,30,04,06
2019-02-02,12,14,20,28,31,09,11
2019-01-30,08,10,15,17,18,01,08
2019-01-28,05,09,17,18,19,07,10
2019-01-26,04,12,13,16,17,04,09
2019-01-23,03,07,24,25,27,02,12
2019-01-21,03,09,15,18,26,06,12
2019-01-19,03,08,17,20,24,06,11
2019-01-16,03,12,16,29,32,01,05
2019-01-14,14,17,19,25,30,04,08
2019-01-12,21,26,27,29,34,05,06
2019-01-09,15,16,17,31,32,03,09
2019-01-07,04,08,18,20,32,10,12
2019-01-05,02,07,14,22,31,01,07
2019-01-02,06,18,23,26,28,03,12
2018-12-31,14,22,23,26,30,03,05
2018-12-29,03,06,07,08,21,01,08
2018-12-26,02,04,05,12,28,08,11
2018-12-24,04,08,18,29,30,03,07
2018-12-22,05,12,13,31,34,10,12
2018-12-19,01,07,10,11,20,03,06
2018-12-17,02,06,24,33,34,02,03
2018-12-15,01,11,26,33,35,02,10
2018-12-12,03,08,09,13,33,01,02
2018-12-10,09,18,29,31,33,06,11
2018-12-08,06,17,18,24,31,07,11
2018-12-05,04,07,20,22,33,01,02
2018-12-03,19,24,28,29,34,10,11
2018-12-01,03,07,23,26,33,04,09
2018-11-28,01,06,08,12,15,03,04
2018-11-26,05,11,16,28,35,06,09
2018-11-24,01,23,24,28,33,04,05
2018-11-21,07,10,22,23,33,08,11
2018-11-19,03,11,12,19,21,05,11
2018-11-17,14,19,23,27,34,06,12
2018-11-14,04,05,19,31,35,02,12
2018-11-12,08,12,14,15,19,01,10
2018-11-10,03,16,22,23,27,01,04
2018-11-07,12,14,21,32,33,02,11
2018-11-05,03,04,16,18,25,01,11
2018-11-03,04,07,21,22,29,03,06
2018-10-31,11,12,14,16,26,08,09
2018-10-29,01,03,04,11,29,08,12
2018-10-27,11,13,15,21,27,05,06
2018-10-24,07,16,20,21,34,04,06
2018-10-22,08,10,12,19,20,10,11
2018-10-20,06,09,29,32,35,02,04
2018-10-17,08,09,21,30,31,05,12
2018-10-15,06,07,21,29,30,01,10
2018-10-13,21,22,25,27,30,08,09
2018-10-10,06,09,11,16,35,02,05
2018-10-08,04,05,14,21,34,06,09
2018-10-06,07,11,13,22,29,03,08
2018-10-03,01,14,17,21,33,07,10
2018-10-01,02,06,13,18,25,01,02
2018-09-29,12,18,26,28,29,05,06
2018-09-26,08,12,27,31,33,04,08
2018-09-24,03,07,08,09,29,09,10
2018-09-22,03,16,27,28,32,04,05
2018-09-19,06,19,21,27,28,03,11
2018-09-17,10,16,23,25,34,02,05
2018-09-15,09,10,24,31,32,07,12
2018-09-12,07,08,09,10,22,03,04
2018-09-10,04,14,17,24,31,01,04
2018-09-08,01,16,19,20,31,02,07
2018-09-05,01,13,14,26,28,07,11
2018-09-03,14,24,26,28,35,02,03
2018-09-01,06,07,13,22,24,10,12
2018-08-29,03,14,15,23,29,04,05
2018-08-27,06,20,21,26,30,06,09
2018-08-25,12,13,16,20,21,01,07
2018-08-22,02,15,18,25,27,05,07
2018-08-20,10,12,14,18,23,01,04
2018-08-18,13,14,20,28,34,06,10
2018-08-15,07,14,18,29,35,05,12
2018-08-13,11,16,25,30,34,08,10
2018-08-11,03,11,16,18,33,03,11
2018-08-08,05,07,14,18,19,04,10
2018-08-06,06,22,26,28,31,01,07
2018-08-04,06,20,24,33,34,04,11
2018-08-01,26,27,28,32,34,06,10
2018-07-30,08,09,21,25,33,01,08
2018-07-28,03,14,19,23,25,01,04
2018-07-25,16,22,24,29,31,04,05
2018-07-23,01,02,14,25,31,05,07
2018-07-21,06,11,17,22,35,11,12
2018-07-18,07,12,25,27,28,10,11
2018-07-16,01,02,14,17,18,08,10
2018-07-14,02,10,13,21,35,01,12
2018-07-11,07,16,24,26,31,10,11
2018-07-09,03,04,10,27,29,01,05
2018-07-07,07,11,12,22,30,03,06
2018-07-04,01,06,09,15,26,08,09
2018-07-02,07,18,28,29,32,06,08
2018-06-30,01,06,12,20,34,04,12
2018-06-27,03,09,12,28,30,04,12
2018-06-25,13,19,24,25,29,02,08
2018-06-23,05,12,17,24,26,01,02
2018-06-20,02,05,23,30,31,03,09
2018-06-18,02,05,10,16,30,04,07
2018-06-16,01,08,13,21,24,02,11
2018-06-13,08,12,16,26,33,05,06
2018-06-11,03,07,12,18,31,07,10
2018-06-09,01,20,23,32,33,01,04
2018-06-06,07,10,28,31,32,08,10
2018-06-04,01,03,04,11,29,02,04
2018-06-02,05,14,15,32,34,03,10
2018-05-30,12,14,19,23,35,02,07
2018-05-28,04,10,12,28,31,08,11
2018-05-26,04,22,27,29,31,02,10
2018-05-23,01,09,10,27,35,06,11
2018-05-21,09,11,12,26,32,04,10
2018-05-19,13,19,22,27,28,05,06
2018-05-16,02,04,16,28,34,05,07
2018-05-14,03,07,20,33,34,09,10
2018-05-12,09,10,12,20,30,01,07
2018-05-09,11,16,21,23,25,02,12
2018-05-07,05,16,18,19,25,02,07
2018-05-05,09,18,28,29,35,03,11
2018-05-02,22,24,26,34,35,06,12
2018-04-30,04,07,09,10,13,06,12
2018-04-28,02,03,11,20,25,02,07
2018-04-25,03,08,10,14,20,04,08
2018-04-23,10,20,22,29,32,05,10
2018-04-21,02,05,20,30,35,05,09
2018-04-18,02,04,06,18,21,05,08
2018-04-16,03,06,13,28,33,04,11
2018-04-14,03,19,25,29,35,05,09
2018-04-11,01,23,25,31,33,01,12
2018-04-09,05,07,18,27,31,01,08
2018-04-07,02,07,14,29,32,10,11
2018-04-04,14,23,25,31,32,01,03
2018-04-02,01,03,27,30,31,02,11
2018-03-31,11,17,18,21,27,07,08
2018-03-28,05,07,10,12,24,07,11
2018-03-26,08,11,22,27,32,03,07
2018-03-24,02,03,19,23,34,04,09
2018-03-21,07,10,17,32,35,05,12
2018-03-19,03,08,13,17,23,05,11
2018-03-17,05,18,21,28,32,09,11
2018-03-14,03,09,21,25,29,01,08
2018-03-12,04,19,25,30,35,04,07
2018-03-10,01,18,20,21,26,04,11
2018-03-07,01,02,03,04,30,03,05
2018-03-05,07,08,09,15,34,07,08
2018-03-03,02,16,24,30,32,04,07
2018-02-28,12,13,18,21,29,02,08
2018-02-26,02,10,19,33,35,05,06
2018-02-24,05,06,08,09,15,04,11
2018-02-14,01,10,13,14,21,09,12
2018-02-12,10,11,19,21,28,05,12
2018-02-10,06,08,13,24,28,06,12
2018-02-07,04,19,21,23,31,04,09
2018-02-05,01,02,12,13,23,09,12
2018-02-03,04,13,15,18,29,05,11
2018-01-31,14,16,18,24,31,01,08
2018-01-29,08,24,31,33,35,07,10
2018-01-27,03,22,24,29,34,07,11
2018-01-24,03,13,15,23,26,01,10
2018-01-22,24,25,26,28,29,04,12
2018-01-20,10,12,28,30,34,03,04
2018-01-17,09,15,17,20,22,10,11
2018-01-15,03,04,28,31,34,04,11
2018-01-13,19,20,30,32,33,03,05
2018-01-10,04,09,23,24,30,08,11
2018-01-08,04,09,22,28,30,01,10
2018-01-06,04,21,23,24,30,09,10
2018-01-03,12,20,23,27,34,01,06
2018-01-01,01,13,22,25,35,03,04
2017-12-30,01,09,24,26,34,09,12
2017-12-27,02,04,07,23,28,02,08
2017-12-25,05,06,23,28,32,04,05
2017-12-23,03,06,10,13,18,09,11
2017-12-20,10,18,19,25,26,04,12
2017-12-18,19,27,31,32,35,11,12
2017-12-16,05,16,17,25,34,01,11
2017-12-13,01,05,11,14,35,09,10
2017-12-11,04,07,17,18,19,03,10
2017-12-09,03,21,23,29,32,10,11
2017-12-06,06,09,24,29,32,02,07
2017-12-04,01,05,16,19,28,02,10
2017-12-02,02,08,21,22,29,03,05
2017-11-29,10,16,25,26,29,01,05
2017-11-27,02,06,19,25,32,09,12
2017-11-25,04,07,09,20,25,02,11
2017-11-22,01,20,22,28,29,05,07
2017-11-20,01,11,20,21,22,03,04
2017-11-18,01,12,15,19,22,02,04
2017-11-15,07,18,19,32,34,02,10
2017-11-13,15,17,19,32,33,01,03
2017-11-11,11,17,23,26,27,01,10
2017-11-08,03,05,08,19,34,01,12
2017-11-06,05,18,28,33,34,03,04
2017-11-04,05,17,20,32,33,04,09
2017-11-01,09,11,13,18,33,02,03
2017-10-30,02,15,18,21,22,03,10
2017-10-28,03,04,13,24,33,01,11
2017-10-25,07,11,18,26,28,04,05
2017-10-23,03,29,30,32,35,03,08
2017-10-21,03,15,23,26,32,01,12
2017-10-18,03,12,18,29,34,03,11
2017-10-16,01,06,12,26,31,01,07
2017-10-14,08,15,24,26,27,05,06
2017-10-11,05,07,13,29,35,03,08
2017-10-09,02,07,16,20,33,03,11
2017-10-07,05,07,09,24,32,08,10
2017-10-04,02,27,30,32,33,01,03
2017-10-02,14,19,20,25,31,06,08
2017-09-30,06,07,12,18,23,01,12
2017-09-27,05,08,17,18,23,04,12
2017-09-25,05,06,20,31,32,06,12
2017-09-23,02,14,17,26,34,08,12
2017-09-20,10,14,20,21,35,02,05
2017-09-18,06,09,19,26,34,05,07
2017-09-16,01,04,15,21,22,04,09
2017-09-13,04,10,19,25,27,06,12
2017-09-11,09,12,18,23,29,02,04
2017-09-09,04,15,22,24,32,02,09
2017-09-06,09,11,22,27,30,09,11
2017-09-04,04,19,20,24,29,03,04
2017-09-02,01,12,23,24,29,08,12
2017-08-30,05,15,21,25,29,05,08
2017-08-28,02,05,18,19,31,01,09
2017-08-26,08,09,17,18,24,03,07
2017-08-23,06,09,17,30,35,10,11
2017-08-21,07,14,19,22,34,07,12
2017-08-19,03,07,09,17,28,04,12
2017-08-16,15,32,33,34,35,03,12
2017-08-14,03,05,08,29,33,04,08
2017-08-12,05,06,17,21,29,02,04
2017-08-09,03,07,09,17,34,04,05
2017-08-07,01,05,07,16,19,03,12
2017-08-05,03,06,15,22,35,09,11
2017-08-02,03,05,06,15,18,03,10
2017-07-31,05,28,31,34,35,08,09
2017-07-29,03,14,21,29,35,02,06
2017-07-26,12,15,18,22,31,01,08
2017-07-24,09,13,14,25,30,02,05
2017-07-22,06,11,14,21,31,09,12
2017-07-19,02,05,14,22,34,03,09
2017-07-17,05,13,20,21,25,08,09
2017-07-15,02,12,15,20,34,01,06
2017-07-12,08,10,21,30,31,02,05
2017-07-10,01,17,19,32,33,02,11
2017-07-08,04,05,27,31,34,03,06
2017-07-05,01,03,04,25,31,06,09
2017-07-03,02,07,25,30,35,07,12
2017-07-01,05,11,16,18,35,01,06
2017-06-28,08,10,11,13,17,08,11
2017-06-26,07,18,28,31,33,01,02
2017-06-24,01,03,29,32,34,02,05
2017-06-21,01,04,11,14,33,05,07
2017-06-19,06,16,18,26,30,02,03
2017-06-17,10,16,20,23,32,08,11
2017-06-14,07,08,19,24,27,06,07
2017-06-12,10,17,18,32,35,10,11
2017-06-10,11,15,23,26,30,02,11
2017-06-07,05,11,12,19,28,05,12
2017-06-05,01,08,20,27,30,03,04
2017-06-03,18,21,22,24,29,05,11
2017-05-31,01,04,06,08,28,08,12
2017-05-29,10,19,23,25,30,02,04
2017-05-27,09,15,20,26,31,05,12
2017-05-24,08,11,13,15,17,03,10
2017-05-22,14,18,20,21,28,03,06
2017-05-20,12,16,19,23,24,02,05
2017-05-17,01,04,24,27,32,03,10
2017-05-15,19,20,22,30,33,03,09
2017-05-13,16,29,30,32,33,04,05
2017-05-10,06,19,20,22,26,01,11
2017-05-08,03,19,24,28,33,04,12
2017-05-06,14,17,18,22,29,10,11
2017-05-03,12,14,17,20,28,02,06
2017-05-01,09,12,14,22,31,05,08
2017-04-29,07,09,13,15,19,03,10
2017-04-26,15,19,32,33,34,09,12
2017-04-24,04,17,20,23,30,02,03
2017-04-22,01,08,11,21,35,09,12
2017-04-19,11,16,17,18,25,02,09
2017-04-17,06,13,22,25,35,09,12
2017-04-15,02,17,31,33,34,01,07
2017-04-12,02,04,06,25,31,05,09
2017-04-10,04,06,10,23,29,09,11
2017-04-08,05,06,14,17,26,03,08
2017-04-05,04,05,13,18,27,03,09
2017-04-03,13,15,16,32,34,06,11
2017-04-01,01,04,09,18,33,02,05
2017-03-29,14,17,22,30,33,07,12
2017-03-27,06,12,21,26,29,02,11
2017-03-25,15,22,23,25,34,05,11
2017-03-22,02,13,14,18,29,03,09
2017-03-20,02,16,17,30,32,02,09
2017-03-18,21,22,24,29,34,05,06
2017-03-15,01,06,14,17,29,01,11
2017-03-13,06,18,22,23,33,09,11
2017-03-11,08,17,25,33,34,03,11
2017-03-08,10,14,19,25,32,02,07
2017-03-06,10,16,19,20,34,04,05
2017-03-04,21,23,29,32,35,11,12
2017-03-01,05,08,12,24,34,07,10
2017-02-27,02,03,09,17,24,06,12
2017-02-25,01,15,17,20,26,06,08
2017-02-22,16,21,24,27,28,04,07
2017-02-20,02,06,14,23,25,02,10
2017-02-18,06,07,10,17,23,01,09
2017-02-15,04,19,24,26,29,04,06
2017-02-13,03,13,28,30,33,09,10
2017-02-11,01,07,19,27,34,01,02
2017-02-08,04,08,15,24,25,02,05
2017-02-06,05,12,17,30,34,11,12
2017-02-04,04,05,24,26,35,07,12
2017-01-25,05,15,21,29,34,06,09
2017-01-23,04,10,13,18,35,01,02
2017-01-21,05,06,08,12,22,03,04
2017-01-18,03,04,09,25,32,02,04
2017-01-16,08,11,17,25,27,02,04
2017-01-14,04,06,23,32,33,05,06
2017-01-11,05,09,20,26,35,02,11
2017-01-09,05,08,11,28,31,06,07
2017-01-07,03,05,06,13,22,09,12
2017-01-04,07,12,14,31,34,09,11
2017-01-02,07,09,20,31,33,08,10
2016-12-31,06,16,17,21,29,04,06
2016-12-28,13,18,25,29,35,03,11
2016-12-26,08,17,22,24,30,05,11
2016-12-24,04,07,11,14,21,05,12
2016-12-21,01,10,18,24,29,07,10
2016-12-19,01,02,03,12,33,04,09
2016-12-17,05,14,15,23,25,06,08
2016-12-14,07,19,20,28,30,04,12
2016-12-12,21,22,25,29,34,01,11
2016-12-10,01,09,11,17,28,03,08
2016-12-07,04,05,13,22,31,05,10
2016-12-05,04,06,22,27,31,06,07
2016-12-03,01,06,17,23,26,06,12
2016-11-30,02,06,07,19,28,11,12
2016-11-28,12,16,23,29,34,04,11
2016-11-26,13,21,30,31,35,01,08
2016-11-23,12,13,16,29,35,05,11
2016-11-21,07,20,23,29,34,02,10
2016-11-19,05,06,07,19,23,04,11
2016-11-16,01,10,12,18,35,01,12
2016-11-14,01,03,31,32,34,02,07
2016-11-12,01,04,05,23,28,05,09
2016-11-09,04,18,19,22,35,01,02
2016-11-07,06,13,25,28,30,02,07
2016-11-05,11,23,32,33,34,01,12
2016-11-02,07,08,19,30,35,08,09
2016-10-31,17,20,22,30,33,07,08
2016-10-29,01,05,15,24,26,09,10
2016-10-26,11,13,16,19,24,06,08
2016-10-24,06,07,08,28,30,01,02
2016-10-22,04,13,24,26,29,08,11
2016-10-19,04,05,13,20,32,01,10
2016-10-17,01,03,12,14,29,02,06
2016-10-15,04,05,08,15,20,01,06
2016-10-12,03,10,20,32,34,04,07
2016-10-10,02,03,09,21,22,05,10
2016-10-08,12,15,18,24,29,03,11
2016-10-05,03,09,14,16,23,02,09
2016-10-03,04,06,08,19,34,10,12
2016-10-01,01,04,15,31,34,02,11
2016-09-28,16,17,20,32,33,03,07
2016-09-26,10,11,17,30,34,03,12
2016-09-24,07,22,23,31,32,04,05
2016-09-21,04,09,22,26,27,02,12
2016-09-19,07,20,21,23,30,07,10
